Monkey,Day,Amp2,Width2,Freq2,Dur2,Active_Channels,Return_Channels,Freq1,Dur1,Dimension,Fixed_Param_Value,Date,Threshold,width,lambda,gamma,beta,location_CI_95,width_CI_95,lambda_CI_95,gamma_CI_95,beta_CI_95,location_CI_5,width_CI_5,lambda_CI_5,gamma_CI_5,beta_CI_5,Experiment Type,Reference Amplitude (μA),Reference Pulse Width (μs),Reference Charge (nC),Amplitude (μA),Pulse Width (μs),Threshold_Charge_nC,Difference Threshold (nC),Weber_Fraction
Y,395,250,200,50,200,15,128,50,200,Amp,200,4/10/2017,267.7353936,166.7414961,7.06E-05,2.36E-11,3.54E-13,248.3427359,90.63734288,0.001721321,0.002499357,0.001692255,286.8144314,224.4029248,0.117703355,0.289923032,0.16809808,Discrimination,250,200,50,267.7353936,200,53.54707872,3.547078723,0.070941574
Y,398,110,200,50,200,15,128,50,200,Amp,200,4/13/2017,115.8758794,31.28041021,1.36E-11,5.12E-05,5.33E-09,106.8891175,17.72354974,0.000375546,0.002591989,0.002480293,122.805863,71.15212959,0.050534535,0.28859954,0.301543395,Discrimination,110,200,22,115.8758794,200,23.17517588,1.175175883,0.053417086
Y,398,200,200,50,200,15,128,50,200,Amp,200,4/13/2017,205.681594,64.84539836,0.014631559,6.39E-13,5.78E-13,194.9585508,34.81794984,0.001501459,0.002702232,0.002005828,216.8345439,112.2285117,0.076999495,0.322123024,0.222035446,Discrimination,200,200,40,205.681594,200,41.1363188,1.136318798,0.02840797
Y,399,110,200,50,200,15,64,50,200,Amp,200,4/14/2017,115.9311746,133.4369945,2.68E-12,6.94E-09,9.39E-13,88.42983721,78.51538554,0.000680272,0.002617989,0.002465376,134.9215348,242.7948642,0.086570113,0.313273084,0.274009742,Discrimination,110,200,22,115.9311746,200,23.18623492,1.186234918,0.053919769
Y,399,190,200,50,200,15,64,50,200,Amp,200,4/14/2017,211.5484594,99.36774895,0.039769278,1.57E-07,5.71E-05,179.6630937,38.30715661,0.010165383,0.002748225,0.002199196,233.2354009,268.3280478,0.117499901,0.300839584,0.244063404,Discrimination,190,200,38,211.5484594,200,42.30969188,4.309691884,0.113412944
Y,403,300,200,50,500,15,128,50,500,Amp,200,4/18/2017,348.3027312,58.71156454,0.141798533,5.62E-08,7.53E-05,314.3772833,30.02411683,0.002367215,0.001765828,0.00402064,405.0798579,543.3605566,0.194106779,0.217866592,0.346529103,Discrimination,300,200,60,348.3027312,200,69.66054624,9.660546241,0.161009104
Y,403,420,200,50,500,15,128,50,500,Amp,200,4/18/2017,534.0281443,385.425062,2.58E-11,5.43E-09,4.78E-07,460.7063427,112.8509587,0.002756995,0.003985761,0.002623725,622.0794758,532.3540337,0.306186424,0.340548981,0.285394737,Discrimination,420,200,84,534.0281443,200,106.8056289,22.80562886,0.271495582
Y,404,110,200,50,200,15,64,50,200,Amp,200,4/19/2017,122.9814983,62.20749525,2.04E-13,3.64E-05,3.73E-13,99.22919264,28.23545887,0.001222168,0.002457851,0.002309546,135.145863,162.3565221,0.143111856,0.289035355,0.264726177,Discrimination,110,200,22,122.9814983,200,24.59629967,2.596299668,0.118013621
Y,404,150,200,50,200,15,64,50,200,Amp,200,4/19/2017,163.9547751,21.81529908,7.83E-09,4.97E-11,9.34E-11,154.5407384,14.49377652,0.000781043,0.00190716,0.002578519,172.3309728,77.19170006,0.105318323,0.232853419,0.317156706,Discrimination,150,200,30,163.9547751,200,32.79095502,2.790955017,0.093031834
Y,404,180,200,50,200,15,64,50,200,Amp,200,4/19/2017,181.8598612,24.12755671,0.029985024,3.46E-10,7.11E-11,162.7098056,15.97839982,0.008774168,0.002542027,0.002423281,187.9166923,110.3803855,0.108659127,0.300589675,0.282007019,Discrimination,180,200,36,181.8598612,200,36.37197224,0.371972245,0.010332562
Y,404,200,200,50,200,15,64,50,200,Amp,200,4/19/2017,211.180266,80.9617752,1.22E-11,1.46E-05,8.38E-12,194.8047705,40.14163818,0.000857007,0.002968314,0.002915081,227.7914018,140.6267772,0.109303212,0.345800035,0.318253069,Discrimination,200,200,40,211.180266,200,42.23605321,2.236053205,0.05590133
